,country,Cost of a healthy diet per capita,"Availability of fruits and vegetables per capita, fruits","Availability of fruits and vegetables per capita, vegetables",Retail value of ultra-processed foods per capita,% population using safely managed drinking water services (SDG 6.1.1),% Population experiencing moderate or severe food insecurity (SDG 2.1.2),% Population who cannot afford a healthy diet,PoU: Prevalence of Undernourishment (SDG 2.1.1),All-5: consumption of all 5 food groups,MDD (IYCF):  minimum dietary diversity for infants and young children,MDD-W: minimum dietary diversity for women,NCD-Protect,NCD-Risk,Soft drink consumption,"Zero fruit or vegetable consumption, adults","Zero fruit or vegetable consumption, children 6-23 months","Emissions intensity, beef","Emissions intensity, cereals (excl. rice)","Emissions intensity, milk","Emissions intensity, rice",Agri-food systems greenhouse gas emissions,"Yield, beef","Yield, cereals","Yield, fruit","Yield, milk","Yield, vegetables",Cropland area change,Agricultural water withdrawal as % of total renewable water resources,Fishery health index progress score,Functional integrity: agricultural land with minimum level of natural habitat,Pesticide use per area of cropland,Cropland nitrogen use efficiency,Share of agriculture in GDP,"Underemployment rate, rural","Unemployment rate, rural",Social protection adequacy,Social protection coverage,% of children 5-17 engaged in child labor,Share of women among owners or rights-bearers of agricultural land (SDG 5.a.1),Civil society participation index,Presence of a national food system transformation pathway,% urban population living in cities signed onto the Milan Urban Food Policy Pact,Degree of legal recognition of the Right to Food,Food safety capacity,Government effectiveness index,Presence of national health-related food environment policies,Guarantees for public access to information (SDG 16.10.2),V-Dem Accountability index,Open Budget Index Score,Ratio of total damages from all disasters to GDP,Number of (a) plant genetic resources for food and agriculture secured in either medium- or long-term conservation facilities (SDG 2.5.1),Number of (b) animal genetic resources for food and agriculture secured in either medium- or long-term conservation facilities (SDG 2.5.1),Proportion of agricultural land with minimum level of species diversity (crop and pasture),Dietary sourcing flexibility index,Mobile cellular subscriptions,Social capital index,Prevalence of severe coping strategies,Food supply variability per capita,Food price volatility
127,Nigeria,2022,2022,2022,2021,2022,2021,2022,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2022,2022,2022,2022,2022,2022,2020,2021,2015,2022,2021,2022,2022,2022,2018,2018,2021,2019,2022,2024,2023,2021,2020,2022,2023,2023,2022,2021,2022,2022,NA,2020,2019,2022,2021,2023,2022,2022
128,North Macedonia,2022,2022,2022,2021,2022,2021,2022,2021,NA,2019,NA,NA,NA,NA,NA,NA,2021,2021,2021,2021,2021,2022,2022,2022,2022,2022,2022,2020,NA,2015,2022,2021,2022,NA,2020,NA,NA,2019,NA,2022,2024,2023,2021,2020,2022,2023,2023,2022,2021,2016,2022,NA,2020,2019,2022,2021,NA,2022,2022
129,Norway,2022,2022,2022,2021,2022,2021,2022,NA,NA,NA,NA,NA,NA,NA,NA,NA,2021,2021,2021,NA,2021,2022,2022,2022,2022,2022,2022,2020,2021,2015,2022,2021,2022,2022,2022,NA,NA,NA,NA,2022,2024,2023,2021,2020,2022,2023,2023,2022,2021,2020,2022,2022,2020,2019,2022,2021,NA,2022,2022
130,Oman,2022,2022,2022,2021,2022,NA,NA,2021,NA,NA,NA,NA,NA,NA,NA,NA,2021,2021,2021,NA,2021,2022,2022,2022,2022,2022,2022,2020,2021,2015,2022,2021,2022,NA,NA,NA,NA,NA,NA,2022,2024,2023,2021,2020,2022,2023,2022,2022,NA,2021,NA,2022,2020,2019,2021,2021,NA,2022,2022
131,Pakistan,2022,2022,2022,2021,2022,2021,2022,2021,2021,2018,2021,2021,2021,2021,2021,NA,2021,2021,2021,2021,2021,2022,2022,2022,2022,2022,2022,2020,2021,2015,2022,2021,2022,2021,2021,2018,2018,NA,2018,2022,2024,2023,2021,2020,2022,2023,2023,2022,2021,2022,2022,NA,2020,2019,2022,2021,2022,2022,2022
132,Palau,NA,NA,NA,NA,2022,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2021,NA,NA,NA,NA,NA,2022,NA,2021,2015,2022,NA,2022,NA,NA,2006,2006,NA,NA,NA,2024,2023,2021,2020,2022,2023,2023,NA,NA,NA,NA,NA,NA,NA,2022,NA,NA,NA,2022
133,Panama,2022,2022,2022,2021,NA,NA,2022,2021,NA,NA,NA,NA,NA,NA,NA,NA,2021,2021,2021,2021,2021,2022,2022,2022,2022,2022,2022,2020,2021,2015,2022,2021,2022,2021,2022,2019,2019,2016,NA,2022,2024,2023,2021,2020,2022,2023,2023,2022,NA,2020,2022,2022,2020,2019,2022,2021,NA,2022,2022
134,Papua New Guinea,NA,2022,2022,2021,NA,2021,NA,2021,NA,2017,NA,NA,NA,NA,NA,NA,2021,2021,2021,2021,2021,2022,2022,2022,2022,2022,2022,2020,2021,2015,2022,2021,2022,NA,2022,2009,2009,NA,2018,2022,2024,2023,2021,2019,2022,2023,2022,2022,2021,2018,2022,NA,2020,2019,2021,2021,NA,2022,2022
135,Paraguay,2022,2022,2022,2021,2022,2021,2022,2021,NA,2016,NA,NA,NA,NA,NA,NA,2021,2021,2021,2021,2021,2022,2022,2022,2022,2022,2022,2020,NA,2015,2022,2021,2022,2022,2022,2020,2020,2016,NA,2022,2024,2023,2021,2020,2022,2023,2023,2022,2021,2013,NA,2022,2020,2019,2022,2021,NA,2022,2022
136,Peru,2022,2022,2022,2021,2022,2021,2022,2021,NA,2022,NA,NA,NA,NA,NA,2022,2021,2021,2021,2021,2021,2022,2022,2022,2022,2022,2022,2020,2021,2015,2022,2021,2022,2022,2022,2021,2021,2015,2019,2022,2024,2023,2021,2020,2022,2023,2023,2022,2021,2021,2022,NA,2020,2019,2022,2021,NA,2022,2022
137,Philippines,2022,2022,2022,2021,2022,2021,2022,2021,2021,2022,2021,2021,2021,2021,2021,2022,2021,2021,2021,2021,2021,2022,2022,2022,2022,2022,2022,2020,2021,2015,2022,2021,2022,2022,2022,2018,2018,NA,NA,2022,2024,2023,2021,2020,2022,2023,2023,2022,2021,2022,2022,2022,2020,2019,2022,2021,NA,2022,2022
138,Poland,2022,2022,2022,2021,2022,2021,2022,NA,NA,NA,NA,NA,NA,NA,NA,NA,2021,2021,2021,NA,2021,2022,2022,2022,2022,2022,2022,2020,NA,2015,2022,2021,2022,2022,2022,2017,2017,NA,NA,2022,2024,2023,2021,2020,2022,2023,2023,2022,2021,2017,2022,2022,2020,2019,2022,2021,NA,2022,2022
139,Portugal,2022,2022,2022,2021,2022,2021,2022,NA,NA,NA,NA,NA,NA,NA,NA,NA,2021,2021,2021,2021,2021,2022,2022,2022,2022,2022,2022,2020,2021,2015,2022,2021,2022,2022,2022,NA,NA,NA,NA,2022,2024,2023,2021,2020,2022,2023,2023,2022,2021,2018,2022,2022,2020,2019,2022,2021,NA,2022,2022
140,Qatar,2022,2022,2022,2021,2022,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2021,2021,2021,NA,2021,2022,2022,2022,2022,2022,2022,2020,NA,2015,2022,2021,2022,NA,NA,NA,NA,NA,NA,2022,2024,2023,2021,2020,2022,2023,2023,2022,2021,2018,2022,NA,2020,2019,2022,2021,NA,NA,2022
141,Republic of Korea,2022,2022,2022,2021,2022,2021,2022,2003,NA,NA,NA,NA,NA,NA,NA,NA,2021,2021,2021,2021,2021,2022,2022,2022,2022,2022,2022,2020,2021,2015,2022,2021,2022,2022,2022,NA,NA,NA,NA,2022,2024,2023,2021,2020,2022,2023,2023,2022,2021,2022,NA,2022,2020,2019,2022,2021,NA,2022,2022
142,Republic of Moldova,2022,2022,2022,2021,2022,2021,2022,2016,NA,2005,NA,NA,NA,NA,NA,2005,2021,2021,2021,NA,2021,2022,2022,2022,2022,2022,2022,2020,NA,2015,2022,2021,2022,2022,2022,2018,2018,NA,NA,2022,2024,2023,2021,2020,2022,2023,2023,2022,2021,2007,2022,NA,2020,2019,2022,2021,NA,2022,2022
143,Romania,2022,2022,2022,2021,2022,2021,2022,NA,NA,NA,NA,NA,NA,NA,NA,NA,2021,2021,2021,2021,2021,2022,2022,2022,2022,2022,2022,2020,NA,2015,2022,2021,2022,2022,2022,2016,2016,NA,NA,2022,2024,2023,2021,2020,2022,2023,2023,2022,2021,2020,2022,2022,2020,2019,2022,2021,NA,2022,2022
144,Russian Federation,2022,2022,2022,2021,2022,2021,2022,2003,2021,NA,2021,2021,2021,2021,2021,NA,2021,2021,2021,2021,2021,2022,2022,2022,2022,2022,2022,2020,2021,2015,2022,2021,2022,NA,2022,2017,2017,NA,NA,2022,2024,2023,2021,2020,2022,2023,2023,2022,2021,2021,2022,NA,2020,2019,2021,2021,NA,2022,2022
145,Rwanda,2022,2022,2022,2021,2022,NA,2022,2021,NA,2020,NA,NA,NA,NA,NA,2020,2021,2021,2021,2021,2021,2022,2022,2022,2022,2022,2022,2020,NA,2015,2022,2021,2022,2022,2022,2013,2013,NA,2019,2022,2024,2023,2021,2020,2022,2023,2023,2022,2021,2018,NA,NA,2020,2019,2022,2021,2023,2022,2022
146,Saint Kitts and Nevis,2022,2022,2022,2021,NA,2021,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2021,NA,NA,NA,2021,2022,NA,2022,NA,2022,2022,2020,NA,2015,2022,2021,2022,NA,NA,NA,NA,NA,NA,NA,2024,2023,2021,2020,2022,2023,2023,NA,NA,2017,NA,NA,2020,2019,2021,NA,NA,2000,2022
147,Saint Lucia,2022,2022,2022,2021,NA,2021,2022,NA,NA,NA,NA,NA,NA,NA,NA,NA,2021,NA,2021,NA,2021,2022,NA,2022,2022,2022,2022,2020,NA,2015,2022,2021,2022,NA,NA,NA,NA,NA,NA,NA,2024,2023,2021,2020,2022,2023,2022,NA,NA,2021,NA,2022,2020,2019,2021,NA,NA,2000,2022
148,Saint Vincent and the Grenadines,2022,2022,2022,2021,NA,2021,NA,2021,NA,NA,NA,NA,NA,NA,NA,NA,2021,2021,2021,NA,2021,2022,2022,2022,2022,2022,2022,2020,2021,2015,2022,2021,2022,NA,NA,NA,NA,NA,NA,NA,2024,2023,2021,2019,2022,2023,2023,NA,NA,2021,NA,NA,2020,2019,2022,NA,NA,2022,2022
149,Samoa,NA,2022,2022,2021,2022,2021,NA,2021,NA,2019,NA,NA,NA,NA,NA,NA,2021,NA,2021,NA,2021,2022,NA,2022,2022,2022,2022,NA,2021,2015,2022,2021,2022,NA,2017,2008,2008,2020,NA,NA,2024,2023,2021,2018,2022,2023,2022,NA,NA,2012,NA,NA,NA,2019,2022,NA,NA,2022,2022
150,San Marino,NA,NA,NA,NA,2022,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2021,NA,NA,NA,NA,NA,2022,NA,NA,2015,NA,NA,2022,NA,NA,NA,NA,NA,NA,NA,2024,2023,2021,2018,2022,2023,2023,NA,NA,NA,NA,NA,2020,NA,2022,NA,NA,NA,2022
151,Sao Tome and Principe,2022,2022,2022,2021,2022,2021,2022,2021,NA,2019,NA,NA,NA,NA,NA,2019,2021,2021,2021,NA,2021,2022,2022,2022,2022,2022,2022,2020,2021,2015,2022,2021,2022,NA,2017,2017,2017,2019,NA,2022,2024,2023,2021,2020,2022,2023,2022,2022,2021,NA,NA,NA,2020,2019,2022,2021,NA,2022,2022
152,Saudi Arabia,2022,2022,2022,2021,NA,NA,NA,2021,NA,NA,NA,NA,NA,NA,NA,NA,2021,2021,2021,2021,2021,2022,2022,2022,2022,2022,2022,2020,2021,2015,2022,2021,2022,NA,NA,NA,NA,NA,NA,2022,2024,2023,2021,2020,2022,2023,2023,2022,2021,2016,NA,NA,2020,2019,2022,2021,NA,2022,2022
153,Senegal,2022,2022,2022,2021,2022,2021,2022,2021,2021,2019,2021,2021,2021,2021,2021,2011,2021,2021,2021,2021,2021,2022,2022,2022,2022,2022,2022,2020,2021,2015,2022,2021,2022,2019,2022,2018,2018,2016,2023,2022,2024,2023,2021,2020,2022,2023,2022,2022,2021,2020,2022,2022,2020,2019,2022,2021,2023,2022,2022
154,Serbia,2022,2022,2022,2021,2022,2021,2022,2008,NA,2019,NA,NA,NA,NA,NA,NA,2021,2021,2021,NA,2021,2022,2022,2022,2022,2022,2022,2020,NA,2015,2022,2021,2022,2020,2022,2018,2018,2019,NA,2022,2024,2023,2021,2020,2022,2023,2023,2022,2021,2020,2022,2022,2020,2019,2021,2021,NA,2022,2022
155,Seychelles,2022,2022,2022,2021,NA,2021,2022,2018,NA,NA,NA,NA,NA,NA,NA,NA,2021,NA,2021,NA,2021,2022,NA,2022,2022,2022,2022,NA,2021,2015,2022,2021,2022,NA,NA,NA,NA,NA,NA,2022,2024,2023,2021,2020,2022,2023,2023,2022,NA,2013,NA,2022,NA,2019,2022,2021,NA,2022,2022
156,Sierra Leone,2022,2022,2022,2021,2022,2021,2022,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2022,2022,2022,2022,2022,2022,2020,2021,2015,2022,2021,2022,2018,2018,2018,2018,2017,2018,2022,2024,2023,2021,2020,2022,2023,2023,2022,2021,2017,NA,NA,2020,2019,2021,2021,2023,2022,2022
157,Singapore,2022,NA,NA,2021,2022,2021,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2021,NA,NA,NA,2021,2022,NA,2022,NA,2022,2022,2020,NA,2015,NA,2021,2022,NA,NA,NA,NA,NA,NA,2022,2024,2023,2021,2020,2022,2023,2022,2022,NA,NA,NA,NA,2020,NA,2022,2021,NA,NA,2022
158,Slovakia,2022,2022,2022,2021,2022,2021,2022,2021,NA,NA,NA,NA,NA,NA,NA,NA,2021,2021,2021,NA,2021,2022,2022,2022,2022,2022,2022,2020,NA,2015,2022,2021,2022,NA,2022,2009,2009,NA,NA,2022,2024,2023,2021,2020,2022,2023,2023,2022,2021,2010,2022,2022,2020,2019,2022,2021,NA,2022,2022
159,Slovenia,2022,2022,2022,2021,2022,2021,2022,NA,NA,NA,NA,NA,NA,NA,NA,NA,2021,2021,2021,NA,2021,2022,2022,2022,2022,2022,2022,2020,2021,2015,2022,2021,2022,2022,2022,NA,NA,NA,NA,2022,2024,2023,2021,2019,2022,2023,2023,2022,2021,2012,2022,2022,2020,2019,2022,2021,NA,2022,2022
160,Solomon Islands,NA,2022,2022,2021,NA,NA,NA,2021,NA,NA,NA,NA,NA,NA,NA,NA,2021,NA,2021,2021,2021,2022,2022,2022,2022,2022,2022,NA,2021,2015,2022,2021,2022,NA,NA,2005,2005,NA,NA,2022,2024,2023,2021,2020,2022,2023,2022,2022,NA,2015,NA,NA,2020,2019,2021,NA,NA,2022,2022
161,Somalia,2021,2022,2022,2021,NA,2021,NA,2021,NA,2018,NA,NA,NA,NA,NA,NA,2021,2021,2021,2021,2021,2022,2022,2022,2022,2022,2022,2020,2021,2015,2022,2021,2022,NA,2019,NA,NA,NA,NA,2022,2024,2023,2021,2018,2022,2023,2022,2022,2021,2022,NA,NA,2020,NA,2022,2021,2023,2022,2022
162,South Africa,2022,2022,2022,2021,2022,2021,2022,2021,2021,2016,2021,2021,2021,2021,2021,NA,2021,2021,2021,2021,2021,2022,2022,2022,2022,2022,2022,2020,NA,2015,2022,2021,2022,2022,2022,2020,2020,NA,NA,2022,2024,2023,2021,2020,2022,2023,2023,2022,2021,2022,2022,2022,2020,2019,2022,2021,NA,2022,2022
163,South Sudan,2021,2022,2022,NA,NA,2021,2021,2021,NA,NA,NA,NA,NA,NA,NA,NA,2021,2021,2021,2021,2021,2022,2022,2022,2022,2022,2022,2020,NA,2015,NA,2021,2022,NA,2008,2009,2009,NA,NA,2022,2024,2023,2021,2020,2022,2023,2023,2022,2021,NA,NA,NA,2020,NA,2022,2021,2023,NA,2022
164,Spain,2022,2022,2022,2021,2022,2021,2022,NA,NA,NA,NA,NA,NA,NA,NA,NA,2021,2021,2021,2021,2021,2022,2022,2022,2022,2022,2022,2020,2021,2015,2022,2021,2022,2022,2022,NA,NA,NA,NA,2022,2024,2023,2021,2020,2022,2023,2023,2022,2021,2021,2022,2022,2020,2019,2022,2021,NA,2022,2022
165,Sri Lanka,2022,2022,2022,2021,2022,2021,2022,2021,2021,2016,2021,2021,2021,2021,2021,NA,2021,2021,2021,2021,2021,2022,2022,2022,2022,2022,2022,2020,NA,2015,2022,2021,2022,2022,2022,2019,2019,2016,NA,2022,2024,2023,2021,2020,2022,2023,2023,2022,2021,2017,2022,NA,2020,2019,2022,2021,2023,2022,2022
166,Sudan,2022,2022,2022,2021,NA,NA,2022,2021,NA,2014,NA,NA,NA,NA,NA,NA,2021,2021,2021,2021,2021,2022,2022,2022,2022,2022,2022,2020,2021,2015,2022,2021,2022,2022,2022,2009,2009,2014,NA,2022,2024,2023,2021,2020,2022,2023,2023,2022,2021,2022,2022,2022,2020,NA,2022,2021,NA,2022,2022
167,Suriname,2022,2022,2022,2021,2022,2021,2022,2021,NA,2018,NA,NA,NA,NA,NA,NA,2021,2021,2021,2021,2021,2022,2022,2022,2022,2022,2022,2020,NA,2015,2022,2021,2022,NA,NA,NA,NA,2018,NA,2022,2024,2023,2021,2020,2022,2023,2022,2022,NA,2022,2022,2022,2020,2019,2022,2021,NA,2022,2022
168,Sweden,2022,2022,2022,2021,2022,2021,2022,NA,NA,NA,NA,NA,NA,NA,NA,NA,2021,2021,2021,NA,2021,2022,2022,2022,2022,2022,2022,2020,2021,2015,2022,2021,2022,2022,2022,NA,NA,NA,NA,2022,2024,2023,2021,2020,2022,2023,2023,2022,2021,2021,2022,2022,2020,2019,2022,2021,NA,2022,2022
169,Switzerland,2022,2022,2022,2021,2022,2021,2022,NA,NA,NA,NA,NA,NA,NA,NA,NA,2021,2021,2021,NA,2021,2022,2022,2022,2022,2022,2022,2020,NA,2015,2022,2021,2022,2022,2022,NA,NA,NA,NA,2022,2024,2023,2021,2019,2022,2023,2023,2022,NA,2013,2022,2022,2020,2019,2022,2021,NA,2022,2022
170,Syrian Arab Republic,2021,2022,2022,2021,NA,NA,2021,2021,NA,2019,NA,NA,NA,NA,NA,NA,2021,2021,2021,NA,2021,2022,2022,2022,2022,2022,2022,2020,NA,2015,2022,2021,2022,NA,NA,2003,2003,NA,NA,2022,2024,2023,2021,2020,2022,2023,2022,2022,NA,2002,NA,NA,2020,2019,2021,2021,2023,2022,2020
171,Tajikistan,2022,2022,2022,2021,2022,2021,2022,2021,2021,2017,2021,2021,2021,2021,2021,NA,2021,2021,2021,2021,2021,2022,2022,2022,2022,2022,2022,2020,NA,2015,2022,2021,2022,NA,2009,2011,2011,NA,NA,2022,2024,2023,2021,2019,2022,2023,2023,2022,2021,2021,2022,NA,2020,2019,2021,2021,NA,2022,2022
172,Thailand,2022,2022,2022,2021,NA,2021,2022,2021,NA,2022,NA,NA,NA,NA,NA,NA,2021,2021,2021,2021,2021,2022,2022,2022,2022,2022,2022,2020,2021,2015,2022,2021,2022,2022,2022,2019,2019,NA,NA,2022,2024,2023,2021,2020,2022,2023,2023,2022,2021,2022,2022,2022,2020,2019,2022,2021,NA,2022,2022
173,Timor-Leste,NA,2022,2022,NA,NA,2021,NA,2021,NA,2020,NA,NA,NA,NA,NA,2020,2021,2021,NA,2021,2021,2022,2022,2022,NA,2022,2022,2020,2021,2015,2022,2021,2022,2021,2022,2011,2011,2016,2016,2022,2024,2023,2021,2020,2022,2023,2023,2022,2021,2020,NA,NA,2020,NA,2022,NA,NA,2022,2022
174,Togo,2022,2022,2022,2021,2022,2021,2022,2021,NA,2017,NA,NA,NA,NA,NA,NA,2021,2021,2021,2021,2021,2022,2022,2022,2022,2022,2022,2020,NA,2015,2022,2021,2022,2017,2022,2018,2018,2017,2019,2022,2024,2023,2021,2020,2022,2023,2023,2022,2021,NA,2022,2022,2020,2019,2022,2021,2023,2022,2022
175,Tonga,NA,2022,2022,2021,2022,2021,NA,NA,NA,2019,NA,NA,NA,NA,NA,NA,2021,NA,2021,NA,2021,2022,NA,2022,2022,2022,2022,NA,2021,2015,2022,2021,2022,2021,2021,NA,NA,2019,NA,NA,2024,2023,2021,2020,2022,2023,2022,NA,NA,2022,NA,2022,NA,NA,2021,NA,NA,NA,2022
176,Trinidad and Tobago,2022,2022,2022,2021,NA,2021,2022,2021,NA,NA,NA,NA,NA,NA,NA,NA,2021,2021,2021,2021,2021,2022,2022,2022,2022,2022,2022,2020,NA,2015,2022,2021,2022,NA,NA,NA,NA,2022,NA,2022,2024,2023,2021,2019,2022,2023,2023,2022,2021,2018,2022,NA,2020,2019,2022,2021,NA,2022,2022
177,Tunisia,2022,2022,2022,2021,2022,2021,2022,2021,2022,2018,2022,2022,2022,2022,2022,NA,2021,2021,2021,NA,2021,2022,2022,2022,2022,2022,2022,2020,2021,2015,2022,2021,2022,2019,2022,2010,2010,NA,NA,2022,2024,2023,2021,2020,2022,2023,2023,2022,2021,2018,2022,2022,2020,2019,2022,2021,2023,2022,2022
178,Turkmenistan,NA,2022,2022,2021,2022,NA,NA,2021,NA,2019,NA,NA,NA,NA,NA,NA,2021,2021,2021,2021,2021,2022,2022,2022,2022,2022,2022,2020,NA,2015,2022,2021,2022,NA,NA,NA,NA,2016,NA,2022,2024,2023,2021,2020,2022,2023,2022,2022,NA,NA,NA,NA,2020,NA,2021,2021,NA,2022,NA
179,Tuvalu,NA,2022,2022,2021,2022,NA,NA,NA,NA,2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2021,NA,NA,2022,NA,2022,2022,NA,2021,2015,2022,2021,2022,NA,NA,NA,NA,2020,NA,NA,2024,2023,2021,2020,2022,2023,2022,NA,NA,NA,NA,NA,NA,NA,2021,NA,NA,NA,NA
180,Trkiye,2022,2022,2022,2021,NA,NA,2022,2006,2021,NA,2021,2021,2021,2021,2021,NA,2021,2021,2021,2021,2021,2022,2022,2022,2022,2022,2022,2020,2021,2015,2022,2021,2022,2013,2013,2019,2019,2019,NA,2022,2024,2023,2021,2020,2022,2023,2023,2022,2021,2022,2022,2022,2020,2019,2022,2021,NA,2022,2022
181,Uganda,2022,2022,2022,2021,2022,2021,2022,2021,2021,2020,2021,2021,2021,2021,2021,2020,2021,2021,2021,2021,2021,2022,2022,2022,2022,2022,2022,2020,NA,2015,2022,2021,2022,2021,2021,2016,2016,2017,2019,2022,2024,2023,2021,2020,2022,2023,2023,2022,2021,2016,2022,2022,2020,2019,2022,2021,2023,2022,2022
182,Ukraine,NA,2022,2022,2021,2022,2021,NA,2021,NA,NA,NA,NA,NA,NA,NA,NA,2021,2021,2021,2021,2021,2022,2022,2022,2022,2022,2022,2020,2021,2015,2022,2021,2022,NA,2021,2020,2020,NA,NA,2022,2024,2023,2021,2020,2022,2023,2023,2022,2021,2021,2022,2022,2020,2019,2021,2021,2023,2022,2022
183,United Arab Emirates,2022,2022,2022,2021,NA,2021,2022,2021,NA,NA,NA,NA,NA,NA,NA,NA,2021,2021,2021,NA,2021,2022,2022,2022,2022,2022,2022,2020,2021,2015,NA,2021,2022,NA,NA,NA,NA,NA,NA,2022,2024,2023,2021,2020,2022,2023,2022,2022,NA,NA,NA,NA,2020,2019,2022,2021,NA,2022,2022
184,United Kingdom of Great Britain and Northern Ireland,2022,2022,2022,2021,2022,2021,2022,NA,NA,NA,NA,NA,NA,NA,NA,NA,2021,2021,2021,NA,2021,2022,2022,2022,2022,2022,2022,2020,2021,2015,2022,2021,2022,2019,2019,NA,NA,NA,NA,2022,2024,2023,2021,2020,2022,2023,2023,2022,2021,2022,2022,2022,2020,2019,2022,2021,NA,2022,2022
185,United Republic of Tanzania,2022,2022,2022,2021,2022,2021,2022,2021,2021,2022,2021,2021,2021,2021,2021,2022,2021,2021,2021,2021,2021,2022,2022,2022,2022,2022,2022,2020,2021,2015,2022,2021,2022,2020,2020,2014,2014,2014,2019,2022,2024,2023,2021,2020,2022,2023,2023,2022,2021,2016,2022,2022,2020,2019,2022,2021,2023,2022,2022
186,United States of America,2022,2022,2022,2021,2022,2021,2022,NA,2021,NA,2021,2021,2021,2021,2021,NA,2021,2021,2021,2021,2021,2022,2022,2022,2022,2022,2022,2020,2021,2015,2022,2021,2022,2022,2022,NA,NA,NA,NA,2022,2024,2023,2021,2020,2022,2023,2023,2022,2021,2022,2022,2022,2020,2019,2022,2021,NA,2022,2022
187,Uruguay,2022,2022,2022,2021,2022,2021,2022,2005,NA,2018,NA,NA,NA,NA,NA,NA,2021,2021,2021,2021,2021,2022,2022,2022,2022,2022,2022,2020,2021,2015,2022,2021,2022,2022,2022,2020,2020,2010,NA,2022,2024,2023,2021,2020,2022,2023,2023,2022,NA,2018,2022,2022,2020,2019,2022,2021,NA,2022,2022
188,Uzbekistan,2022,2022,2022,2021,2022,NA,2022,2011,2022,2021,2022,2022,2022,2022,2022,NA,2021,2021,2021,2021,2021,2022,2022,2022,2022,2022,2022,2020,NA,2015,NA,2021,2022,NA,2020,2018,2018,2022,NA,2022,2024,2023,2021,2020,2022,2023,2023,2022,NA,2000,2022,NA,2020,NA,2022,2021,2023,2022,2022
189,Vanuatu,NA,2022,2022,2021,2022,2021,NA,2021,NA,NA,NA,NA,NA,NA,NA,NA,2021,2021,2021,NA,2021,2022,2022,2022,2022,2022,2022,NA,2021,2015,2022,2021,2022,2019,2020,NA,2019,NA,NA,2022,2024,2023,2021,2020,2022,2023,2023,2022,NA,2015,NA,NA,2020,2019,2022,NA,NA,2022,2022
190,"Venezuela, Bolivarian Republic of",NA,2022,2022,NA,NA,NA,NA,2021,NA,NA,NA,NA,NA,NA,NA,NA,2021,2021,2021,2021,2021,2022,2022,2022,2022,2022,2022,2020,NA,2015,2022,2021,2022,NA,NA,NA,2006,NA,NA,2022,2024,2023,2021,2020,2022,2023,2023,2022,2021,2012,NA,NA,2020,2019,2022,2021,NA,2022,2022
191,Viet Nam,2022,2022,2022,2021,2022,2021,2022,2021,2021,2020,2021,2021,2021,2021,2021,NA,2021,2021,2021,2021,2021,2022,2022,2022,2022,2022,2022,2020,2021,2015,2022,2021,2022,2022,2022,2014,2014,2021,NA,2022,2024,2023,2021,2020,2022,2023,2023,2022,2021,2022,2022,2022,2020,2019,2022,2021,NA,2022,2022
192,Yemen,NA,2022,2022,NA,NA,2021,NA,2021,2022,2021,2022,2022,2022,2022,2022,NA,2021,2021,2021,NA,2021,2022,2022,2022,2022,2022,2022,2020,NA,2015,2022,2021,2022,2014,2014,2014,2014,NA,NA,2022,2024,2023,2021,2020,2022,2023,2023,2022,2021,2015,NA,2022,2020,2019,2021,2021,2023,2022,2017
193,Zambia,2022,2022,2022,2021,2022,NA,2022,2021,NA,2018,NA,NA,NA,NA,NA,2018,2021,2021,2021,2021,2021,2022,2022,2022,2022,2022,2022,2020,NA,2015,2022,2021,2022,2022,2022,2015,2015,2012,2023,2022,2024,2023,2021,2020,2022,2023,2022,2022,2021,NA,2022,NA,2020,2019,2022,2021,2023,2022,2022
194,Zimbabwe,2017,2022,2022,2021,2022,2021,2017,2021,2022,2019,2022,2022,2022,2022,2022,2019,2021,2021,2021,2021,2021,2022,2022,2022,2022,2022,2022,2020,NA,2015,2022,2021,2022,2022,2022,2019,2019,2019,2019,2022,2024,2023,2021,2020,2022,2023,2023,2022,2021,2017,2022,NA,2020,2019,2022,2021,2023,2022,2022
